vp	vp	kod	nod	vud	mdflw	rbf	
2.790000e+00	3.305613e-01	1.271382e-01	1.000000e-09	1.210550e-01	8.266237e-01	1.218516e+00	
2.800000e+00	3.326403e-01	1.307434e-01	1.000000e-09	1.222443e-01	8.484767e-01	1.218516e+00	
2.810000e+00	3.347193e-01	1.343202e-01	1.000000e-09	1.234241e-01	8.701353e-01	1.218516e+00	
2.820000e+00	3.367983e-01	1.378687e-01	1.000000e-09	1.245947e-01	8.916022e-01	1.218516e+00	
2.830000e+00	3.388773e-01	1.422058e-01	1.655375e-03	1.369465e-01	9.128798e-01	1.218516e+00	
2.840000e+00	3.409563e-01	1.464964e-01	3.542416e-03	1.508114e-01	9.339707e-01	1.218516e+00	
2.850000e+00	3.430353e-01	1.506455e-01	5.412968e-03	1.645208e-01	9.548773e-01	1.218516e+00	
2.860000e+00	3.451143e-01	1.551837e-01	7.267245e-03	1.782512e-01	9.756021e-01	1.218516e+00	
2.870000e+00	3.471933e-01	1.587430e-01	9.105459e-03	1.915528e-01	9.961473e-01	1.218516e+00	
2.880000e+00	3.492723e-01	1.622716e-01	1.092782e-02	2.094040e-01	1.016515e+00	1.218516e+00	
2.890000e+00	3.513514e-01	1.666597e-01	1.273452e-02	2.319164e-01	1.036708e+00	1.218516e+00	
2.900000e+00	3.534304e-01	1.705623e-01	1.452578e-02	2.539873e-01	1.056729e+00	1.218516e+00	
2.910000e+00	3.555094e-01	1.743635e-01	1.630178e-02	2.758324e-01	1.076578e+00	1.218516e+00	
2.920000e+00	3.575884e-01	1.780802e-01	1.806272e-02	2.974632e-01	1.096260e+00	1.218516e+00	
2.930000e+00	3.596674e-01	1.817246e-01	1.980878e-02	3.188887e-01	1.115775e+00	1.218516e+00	
2.940000e+00	3.617464e-01	1.853057e-01	2.154017e-02	3.401157e-01	1.135126e+00	1.218516e+00	
2.950000e+00	3.638254e-01	1.888302e-01	2.325706e-02	3.611503e-01	1.154316e+00	1.218516e+00	
2.960000e+00	3.659044e-01	1.923037e-01	2.495962e-02	3.819975e-01	1.173345e+00	1.218516e+00	
