anm	anm	kod	nod	vud	mdflw	rbf	
9.040000e-01	1.562500e-01	3.037513e-01	7.562669e-02	1.006880e+00	1.390495e+00	1.398193e+00	
9.050000e-01	1.577381e-01	3.019962e-01	7.487161e-02	9.975154e-01	1.386731e+00	1.395779e+00	
9.060000e-01	1.592262e-01	3.002437e-01	7.411601e-02	9.881462e-01	1.382946e+00	1.393373e+00	
9.070000e-01	1.607143e-01	2.984938e-01	7.335987e-02	9.787725e-01	1.379139e+00	1.390975e+00	
9.080000e-01	1.622024e-01	2.967464e-01	7.260320e-02	9.693943e-01	1.375310e+00	1.388585e+00	
9.090000e-01	1.636905e-01	2.950015e-01	7.184601e-02	9.600116e-01	1.371460e+00	1.386204e+00	
9.100000e-01	1.651786e-01	2.932590e-01	7.108828e-02	9.506244e-01	1.367589e+00	1.383830e+00	
9.110000e-01	1.666667e-01	2.915191e-01	7.033002e-02	9.412326e-01	1.363697e+00	1.381465e+00	
9.120000e-01	1.681548e-01	2.897816e-01	6.957122e-02	9.318363e-01	1.359783e+00	1.379108e+00	
9.130000e-01	1.696429e-01	2.880465e-01	6.881190e-02	9.224354e-01	1.355848e+00	1.376759e+00	
9.140000e-01	1.711310e-01	2.863138e-01	6.805203e-02	9.130299e-01	1.351892e+00	1.374417e+00	
9.150000e-01	1.726190e-01	2.845835e-01	6.729164e-02	9.036198e-01	1.347915e+00	1.372084e+00	
9.160000e-01	1.741071e-01	2.828556e-01	6.653071e-02	8.942050e-01	1.343918e+00	1.369759e+00	
9.170000e-01	1.755952e-01	2.811300e-01	6.576924e-02	8.847857e-01	1.339899e+00	1.367442e+00	
9.180000e-01	1.770833e-01	2.794068e-01	6.500724e-02	8.753616e-01	1.335859e+00	1.365132e+00	
9.190000e-01	1.785714e-01	2.776859e-01	6.424470e-02	8.659329e-01	1.331799e+00	1.362830e+00	
9.200000e-01	1.800595e-01	2.759672e-01	6.348163e-02	8.564994e-01	1.327718e+00	1.360536e+00	
9.210000e-01	1.815476e-01	2.742508e-01	6.271801e-02	8.470613e-01	1.323617e+00	1.358250e+00	
9.220000e-01	1.830357e-01	2.725366e-01	6.195386e-02	8.376184e-01	1.319495e+00	1.355971e+00	
9.230000e-01	1.845238e-01	2.708247e-01	6.118917e-02	8.281707e-01	1.315353e+00	1.353700e+00	
9.240000e-01	1.860119e-01	2.691149e-01	6.042394e-02	8.187183e-01	1.311190e+00	1.351437e+00	
9.250000e-01	1.875000e-01	2.674073e-01	5.965817e-02	8.092611e-01	1.307007e+00	1.349181e+00	
9.260000e-01	1.889881e-01	2.657018e-01	5.889186e-02	7.997990e-01	1.302803e+00	1.346932e+00	
9.270000e-01	1.904762e-01	2.639985e-01	5.812500e-02	7.903321e-01	1.298580e+00	1.344691e+00	
9.280000e-01	1.919643e-01	2.622972e-01	5.735761e-02	7.808604e-01	1.294336e+00	1.342458e+00	
