adhmk	adhmk	kod	nod	vud	mdflw	rbf	
4.180000e-01	1.210439e-01	1.641161e-01	2.138946e-02	6.072163e-01	9.983964e-01	1.218516e+00	
4.190000e-01	1.215991e-01	1.641107e-01	2.136907e-02	6.058448e-01	9.983964e-01	1.218516e+00	
4.200000e-01	1.221544e-01	1.641053e-01	2.134868e-02	6.044787e-01	9.983964e-01	1.218516e+00	
4.210000e-01	1.227096e-01	1.640999e-01	2.132828e-02	6.031180e-01	9.983964e-01	1.218516e+00	
4.220000e-01	1.232649e-01	1.640945e-01	2.130789e-02	6.017627e-01	9.983964e-01	1.218516e+00	
4.230000e-01	1.238201e-01	1.640891e-01	2.128750e-02	6.004127e-01	9.983964e-01	1.218516e+00	
4.240000e-01	1.243753e-01	1.640837e-01	2.126710e-02	5.990680e-01	9.983964e-01	1.218516e+00	
4.250000e-01	1.249306e-01	1.640783e-01	2.124671e-02	5.977285e-01	9.983964e-01	1.218516e+00	
4.260000e-01	1.254858e-01	1.640729e-01	2.122632e-02	5.963943e-01	9.983964e-01	1.218516e+00	
4.270000e-01	1.260411e-01	1.640674e-01	2.120593e-02	5.950652e-01	9.983964e-01	1.218516e+00	
4.280000e-01	1.265963e-01	1.640620e-01	2.118553e-02	5.937412e-01	9.983964e-01	1.218516e+00	
4.290000e-01	1.271516e-01	1.640566e-01	2.116514e-02	5.924223e-01	9.983964e-01	1.218516e+00	
4.300000e-01	1.277068e-01	1.640512e-01	2.114475e-02	5.911086e-01	9.983964e-01	1.218516e+00	
4.310000e-01	1.282621e-01	1.640457e-01	2.112435e-02	5.897998e-01	9.983964e-01	1.218516e+00	
4.320000e-01	1.288173e-01	1.640403e-01	2.110396e-02	5.884960e-01	9.983964e-01	1.218516e+00	
4.330000e-01	1.293726e-01	1.640348e-01	2.108357e-02	5.871972e-01	9.983964e-01	1.218516e+00	
4.340000e-01	1.299278e-01	1.640294e-01	2.106318e-02	5.859033e-01	9.983964e-01	1.218516e+00	
4.350000e-01	1.304831e-01	1.640239e-01	2.104278e-02	5.846143e-01	9.983964e-01	1.218516e+00	
4.360000e-01	1.310383e-01	1.640185e-01	2.102239e-02	5.833302e-01	9.983964e-01	1.218516e+00	
4.370000e-01	1.315936e-01	1.640130e-01	2.100200e-02	5.820509e-01	9.983964e-01	1.218516e+00	
4.380000e-01	1.321488e-01	1.640076e-01	2.098160e-02	5.807764e-01	9.983964e-01	1.218516e+00	
4.390000e-01	1.327041e-01	1.640021e-01	2.096121e-02	5.795066e-01	9.983964e-01	1.218516e+00	
4.400000e-01	1.332593e-01	1.639966e-01	2.094082e-02	5.782416e-01	9.983964e-01	1.218516e+00	
4.410000e-01	1.338145e-01	1.639912e-01	2.092043e-02	5.769812e-01	9.983964e-01	1.218516e+00	
4.420000e-01	1.343698e-01	1.639857e-01	2.090003e-02	5.757256e-01	9.983964e-01	1.218516e+00	
