anpx	anpx	kod	nod	vud	mdflw	rbf	
2.900000e-01	1.400651e-01	1.665216e-01	1.274722e-02	2.319807e-01	1.035124e+00	1.219807e+00	
3.000000e-01	1.411509e-01	1.677809e-01	1.333432e-02	2.392037e-01	1.041391e+00	1.220028e+00	
3.100000e-01	1.422367e-01	1.690317e-01	1.392160e-02	2.464238e-01	1.047660e+00	1.220248e+00	
3.200000e-01	1.433225e-01	1.702748e-01	1.450904e-02	2.536416e-01	1.053931e+00	1.220469e+00	
3.300000e-01	1.444083e-01	1.715108e-01	1.509665e-02	2.608573e-01	1.060203e+00	1.220690e+00	
3.400000e-01	1.454940e-01	1.727404e-01	1.568443e-02	2.680713e-01	1.066478e+00	1.220911e+00	
3.500000e-01	1.465798e-01	1.739641e-01	1.627238e-02	2.752839e-01	1.072754e+00	1.221132e+00	
3.600000e-01	1.476656e-01	1.751823e-01	1.686051e-02	2.824954e-01	1.079032e+00	1.221353e+00	
3.700000e-01	1.487514e-01	1.763955e-01	1.744880e-02	2.897060e-01	1.085311e+00	1.221574e+00	
3.800000e-01	1.498371e-01	1.776040e-01	1.803726e-02	2.969159e-01	1.091593e+00	1.221795e+00	
3.900000e-01	1.509229e-01	1.788083e-01	1.862590e-02	3.041253e-01	1.097876e+00	1.222016e+00	
4.000000e-01	1.520087e-01	1.800086e-01	1.921470e-02	3.113344e-01	1.104161e+00	1.222237e+00	
4.100000e-01	1.530945e-01	1.812052e-01	1.980368e-02	3.185433e-01	1.110448e+00	1.222459e+00	
4.200000e-01	1.541802e-01	1.823983e-01	2.039282e-02	3.257522e-01	1.116737e+00	1.222680e+00	
4.300000e-01	1.552660e-01	1.835883e-01	2.098214e-02	3.329613e-01	1.123028e+00	1.222902e+00	
4.400000e-01	1.563518e-01	1.847753e-01	2.157163e-02	3.401706e-01	1.129320e+00	1.223123e+00	
4.500000e-01	1.574376e-01	1.859596e-01	2.216129e-02	3.473803e-01	1.135614e+00	1.223345e+00	
4.600000e-01	1.585233e-01	1.871413e-01	2.275112e-02	3.545905e-01	1.141910e+00	1.223567e+00	
4.700000e-01	1.596091e-01	1.883206e-01	2.334112e-02	3.618012e-01	1.148208e+00	1.223789e+00	
4.800000e-01	1.606949e-01	1.894976e-01	2.393129e-02	3.690126e-01	1.154508e+00	1.224010e+00	
4.900000e-01	1.617807e-01	1.906726e-01	2.452163e-02	3.762247e-01	1.160809e+00	1.224232e+00	
5.000000e-01	1.628664e-01	1.918456e-01	2.511215e-02	3.834377e-01	1.167112e+00	1.224455e+00	
5.100000e-01	1.639522e-01	1.930168e-01	2.570284e-02	3.906515e-01	1.173417e+00	1.224677e+00	
5.200000e-01	1.650380e-01	1.941862e-01	2.629370e-02	3.978663e-01	1.179724e+00	1.224899e+00	
5.300000e-01	1.661238e-01	1.953541e-01	2.688473e-02	4.050821e-01	1.186033e+00	1.225121e+00	
5.400000e-01	1.672096e-01	1.965204e-01	2.747593e-02	4.122990e-01	1.192343e+00	1.225344e+00	
5.500000e-01	1.682953e-01	1.976853e-01	2.806731e-02	4.195170e-01	1.198655e+00	1.225566e+00	
5.600000e-01	1.693811e-01	1.988489e-01	2.865885e-02	4.267362e-01	1.204969e+00	1.225789e+00	
5.700000e-01	1.704669e-01	2.000112e-01	2.925057e-02	4.339567e-01	1.211285e+00	1.226012e+00	
