aum	aum	kod	nod	vud	mdflw	rbf	
1.140000e-01	5.697151e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.150000e-01	5.747126e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.160000e-01	5.797101e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.170000e-01	5.847076e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.180000e-01	5.897051e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.190000e-01	5.947026e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.200000e-01	5.997001e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.210000e-01	6.046977e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.220000e-01	6.096952e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.230000e-01	6.146927e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.240000e-01	6.196902e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.250000e-01	6.246877e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.260000e-01	6.296852e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.270000e-01	6.346827e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.280000e-01	6.396802e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.290000e-01	6.446777e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.300000e-01	6.496752e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.310000e-01	6.546727e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.320000e-01	6.596702e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.330000e-01	6.646677e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.340000e-01	6.696652e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.350000e-01	6.746627e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.360000e-01	6.796602e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.370000e-01	6.846577e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.380000e-01	6.896552e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.390000e-01	6.946527e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.400000e-01	6.996502e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.410000e-01	7.046477e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.420000e-01	7.096452e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.430000e-01	7.146427e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.440000e-01	7.196402e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.450000e-01	7.246377e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.460000e-01	7.296352e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.470000e-01	7.346327e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.480000e-01	7.396302e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.490000e-01	7.446277e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.500000e-01	7.496252e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.510000e-01	7.546227e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.520000e-01	7.596202e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.530000e-01	7.646177e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.540000e-01	7.696152e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.550000e-01	7.746127e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.560000e-01	7.796102e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.570000e-01	7.846077e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.580000e-01	7.896052e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.590000e-01	7.946027e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.600000e-01	7.996002e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.610000e-01	8.045977e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.620000e-01	8.095952e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.630000e-01	8.145927e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.640000e-01	8.195902e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.650000e-01	8.245877e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.660000e-01	8.295852e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.670000e-01	8.345827e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.680000e-01	8.395802e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.690000e-01	8.445777e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.700000e-01	8.495752e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.710000e-01	8.545727e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.720000e-01	8.595702e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.730000e-01	8.645677e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.740000e-01	8.695652e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.750000e-01	8.745627e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.760000e-01	8.795602e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.770000e-01	8.845577e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.780000e-01	8.895552e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.790000e-01	8.945527e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.800000e-01	8.995502e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.810000e-01	9.045477e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.820000e-01	9.095452e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.830000e-01	9.145427e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.840000e-01	9.195402e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.850000e-01	9.245377e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.860000e-01	9.295352e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.870000e-01	9.345327e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.880000e-01	9.395302e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.890000e-01	9.445277e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.900000e-01	9.495252e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.910000e-01	9.545227e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.920000e-01	9.595202e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.930000e-01	9.645177e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.940000e-01	9.695152e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.950000e-01	9.745127e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.960000e-01	9.795102e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.970000e-01	9.845077e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
1.980000e-01	9.895052e-02	6.824947e-01	2.907359e-01	3.607396e+00	3.867356e+00	1.393329e+00	
