cke	cke	kod	nod	vud	mdflw	rbf	
3.960000e+00	3.824701e-01	9.195828e-02	9.306690e-03	1.708501e-01	9.983964e-01	1.218516e+00	
3.970000e+00	3.864542e-01	9.315420e-02	9.306690e-03	1.712446e-01	9.983964e-01	1.218516e+00	
3.980000e+00	3.904382e-01	9.435857e-02	9.306690e-03	1.716419e-01	9.983964e-01	1.218516e+00	
3.990000e+00	3.944223e-01	9.557143e-02	9.306690e-03	1.720420e-01	9.983964e-01	1.218516e+00	
4.000000e+00	3.984064e-01	9.679283e-02	9.306690e-03	1.724449e-01	9.983964e-01	1.218516e+00	
4.010000e+00	4.023904e-01	9.802280e-02	9.306690e-03	1.728506e-01	9.983964e-01	1.218516e+00	
4.020000e+00	4.063745e-01	9.926141e-02	9.306690e-03	1.732592e-01	9.983964e-01	1.218516e+00	
4.030000e+00	4.103586e-01	1.005087e-01	9.306690e-03	1.736706e-01	9.983964e-01	1.218516e+00	
4.040000e+00	4.143426e-01	9.959313e-02	9.306690e-03	1.733686e-01	9.983964e-01	1.218516e+00	
4.050000e+00	4.183267e-01	1.009135e-01	9.306690e-03	1.738042e-01	9.983964e-01	1.218516e+00	
4.060000e+00	4.223108e-01	1.022428e-01	9.306690e-03	1.742427e-01	9.983964e-01	1.218516e+00	
4.070000e+00	4.262948e-01	1.035811e-01	9.306690e-03	1.746841e-01	9.983964e-01	1.218516e+00	
4.080000e+00	4.302789e-01	1.049283e-01	9.306690e-03	1.751285e-01	9.983964e-01	1.218516e+00	
4.090000e+00	4.342629e-01	1.062846e-01	9.306690e-03	1.755759e-01	9.983964e-01	1.218516e+00	
4.100000e+00	4.382470e-01	1.076499e-01	9.306690e-03	1.760263e-01	9.983964e-01	1.218516e+00	
4.110000e+00	4.422311e-01	1.090244e-01	9.306690e-03	1.764797e-01	9.983964e-01	1.218516e+00	
4.120000e+00	4.462151e-01	1.104080e-01	9.306690e-03	1.769361e-01	9.983964e-01	1.218516e+00	
4.130000e+00	4.501992e-01	1.118009e-01	9.306690e-03	1.773956e-01	9.983964e-01	1.218516e+00	
4.140000e+00	4.541833e-01	1.132030e-01	9.306690e-03	1.778581e-01	9.983964e-01	1.218516e+00	
4.150000e+00	4.581673e-01	1.146144e-01	9.306690e-03	1.783237e-01	9.983964e-01	1.218516e+00	
4.160000e+00	4.621514e-01	1.160351e-01	9.306690e-03	1.787923e-01	9.983964e-01	1.218516e+00	
4.170000e+00	4.661355e-01	1.174653e-01	9.306690e-03	1.792641e-01	9.983964e-01	1.218516e+00	
4.180000e+00	4.701195e-01	1.189049e-01	9.306690e-03	1.797390e-01	9.983964e-01	1.218516e+00	
4.190000e+00	4.741036e-01	1.203539e-01	9.306690e-03	1.802170e-01	9.983964e-01	1.218516e+00	
4.200000e+00	4.780876e-01	1.218125e-01	9.306690e-03	1.806981e-01	9.983964e-01	1.218516e+00	
4.210000e+00	4.820717e-01	1.232807e-01	9.306690e-03	1.811824e-01	9.983964e-01	1.218516e+00	
4.220000e+00	4.860558e-01	1.247585e-01	9.306690e-03	1.816699e-01	9.983964e-01	1.218516e+00	
4.230000e+00	4.900398e-01	1.262460e-01	9.306690e-03	1.821606e-01	9.983964e-01	1.218516e+00	
4.240000e+00	4.940239e-01	1.277431e-01	9.306690e-03	1.826544e-01	9.983964e-01	1.218516e+00	
4.250000e+00	4.980080e-01	1.292501e-01	9.306690e-03	1.831515e-01	9.983964e-01	1.218516e+00	
4.260000e+00	5.019920e-01	1.307668e-01	9.306690e-03	1.836519e-01	9.983964e-01	1.218516e+00	
4.270000e+00	5.059761e-01	1.322934e-01	9.306690e-03	1.841554e-01	9.983964e-01	1.218516e+00	
4.280000e+00	5.099602e-01	1.338298e-01	9.306690e-03	1.846623e-01	9.983964e-01	1.218516e+00	
4.290000e+00	5.139442e-01	1.353763e-01	9.306690e-03	1.851724e-01	9.983964e-01	1.218516e+00	
4.300000e+00	5.179283e-01	1.369327e-01	9.306690e-03	1.856858e-01	9.983964e-01	1.218516e+00	
4.310000e+00	5.219124e-01	1.384991e-01	9.306690e-03	1.862025e-01	9.983964e-01	1.218516e+00	
4.320000e+00	5.258964e-01	1.400756e-01	9.306690e-03	1.867226e-01	9.983964e-01	1.218516e+00	
