amna	amna	kod	nod	vud	mdflw	rbf	
1.290000e-01	6.446777e-02	1.648136e-01	6.920230e-02	8.583105e-01	9.983964e-01	1.218516e+00	
1.300000e-01	6.496752e-02	1.648122e-01	6.913800e-02	8.575953e-01	9.983964e-01	1.218516e+00	
1.310000e-01	6.546727e-02	1.648107e-01	6.907370e-02	8.568800e-01	9.983964e-01	1.218516e+00	
1.320000e-01	6.596702e-02	1.648093e-01	6.900940e-02	8.561648e-01	9.983964e-01	1.218516e+00	
1.330000e-01	6.646677e-02	1.648079e-01	6.894510e-02	8.554496e-01	9.983964e-01	1.218516e+00	
1.340000e-01	6.696652e-02	1.648065e-01	6.888080e-02	8.547343e-01	9.983964e-01	1.218516e+00	
1.350000e-01	6.746627e-02	1.648051e-01	6.881650e-02	8.540191e-01	9.983964e-01	1.218516e+00	
1.360000e-01	6.796602e-02	1.648037e-01	6.875220e-02	8.533039e-01	9.983964e-01	1.218516e+00	
1.370000e-01	6.846577e-02	1.648022e-01	6.868790e-02	8.525886e-01	9.983964e-01	1.218516e+00	
1.380000e-01	6.896552e-02	1.648008e-01	6.862360e-02	8.518734e-01	9.983964e-01	1.218516e+00	
1.390000e-01	6.946527e-02	1.647994e-01	6.855930e-02	8.511581e-01	9.983964e-01	1.218516e+00	
1.400000e-01	6.996502e-02	1.647980e-01	6.849500e-02	8.504429e-01	9.983964e-01	1.218516e+00	
1.410000e-01	7.046477e-02	1.647965e-01	6.843070e-02	8.497277e-01	9.983964e-01	1.218516e+00	
1.420000e-01	7.096452e-02	1.647951e-01	6.836640e-02	8.490124e-01	9.983964e-01	1.218516e+00	
1.430000e-01	7.146427e-02	1.647937e-01	6.830210e-02	8.482972e-01	9.983964e-01	1.218516e+00	
1.440000e-01	7.196402e-02	1.647922e-01	6.823780e-02	8.475819e-01	9.983964e-01	1.218516e+00	
1.450000e-01	7.246377e-02	1.647908e-01	6.817350e-02	8.468667e-01	9.983964e-01	1.218516e+00	
1.460000e-01	7.296352e-02	1.647893e-01	6.810920e-02	8.461514e-01	9.983964e-01	1.218516e+00	
1.470000e-01	7.346327e-02	1.647879e-01	6.804490e-02	8.454362e-01	9.983964e-01	1.218516e+00	
1.480000e-01	7.396302e-02	1.647864e-01	6.798060e-02	8.447209e-01	9.983964e-01	1.218516e+00	
1.490000e-01	7.446277e-02	1.647850e-01	6.791630e-02	8.440057e-01	9.983964e-01	1.218516e+00	
1.500000e-01	7.496252e-02	1.647835e-01	6.785200e-02	8.432904e-01	9.983964e-01	1.218516e+00	
1.510000e-01	7.546227e-02	1.647821e-01	6.778770e-02	8.425752e-01	9.983964e-01	1.218516e+00	
1.520000e-01	7.596202e-02	1.647806e-01	6.772340e-02	8.418599e-01	9.983964e-01	1.218516e+00	
1.530000e-01	7.646177e-02	1.647792e-01	6.765910e-02	8.411447e-01	9.983964e-01	1.218516e+00	
1.540000e-01	7.696152e-02	1.647777e-01	6.759480e-02	8.404294e-01	9.983964e-01	1.218516e+00	
1.550000e-01	7.746127e-02	1.647762e-01	6.753050e-02	8.397141e-01	9.983964e-01	1.218516e+00	
1.560000e-01	7.796102e-02	1.647748e-01	6.746620e-02	8.389989e-01	9.983964e-01	1.218516e+00	
